Estacion: RUTA PROVINCIAL Nº 157 - ATAHONA,,,,
Parametro: Aforos,,,,
,,,,
Fecha y Hora,Altura Escala [m],Caudal Liquido [m3/s],Caudal Solido Grueso [kg/s],Caudal Solido Fino [kg/s]
03/04/2013 12:00:00 p.m.,"2,02","14,943","0,137","0,877"
08/04/2013 12:30:00 p.m.,"1,9","11,874","0,149","0,495"
15/04/2013 12:20:00 p.m.,"2,09","17,673","2,564","0,968"
23/04/2013 12:00:00 p.m.,"1,82","8,663","0,196","0,634"
06/05/2013 12:00:00 p.m.,"1,79","7,237","0,225","0,298"
06/06/2013 12:20:00 p.m.,"1,68","4,85","0,14","0,07"
03/07/2013 12:20:00 p.m.,"1,67","4,894","0,067","0,114"
05/08/2013 03:20:00 p.m.,"1,65","4,036","0,915","0,048"
05/09/2013 12:00:00 p.m.,"1,62","3,483","0,027","0,099"
03/10/2013 12:10:00 p.m.,"1,51","1,418","0,017","0,052"
28/10/2013 12:00:00 p.m.,"1,59","2,57","0,016","0,096"
08/11/2013 11:25:00 a.m.,"1,59","2,563","0,075","0,241"
18/11/2013 11:30:00 a.m.,"1,5","1,295","0,015","0,114"
26/11/2013 11:40:00 a.m.,"1,36","0,413","0,007","0,028"
28/11/2013 11:50:00 a.m.,"1,67","4,54","0,07","0,216"
03/12/2013 12:00:00 p.m.,"1,57","2,166","0,068","0,087"
06/12/2013 11:50:00 a.m.,"1,51","1,448","0,182","0,068"
09/12/2013 12:10:00 p.m.,"1,49","1,162","0,004","0,032"
13/12/2013 12:00:00 p.m.,"1,66","4,055","0,004","0,158"
19/12/2013 02:00:00 p.m.,"2,4","30,031","0,132","1,444"
23/12/2013 12:30:00 p.m.,"1,81","7,678","0,087","0,201"
27/12/2013 02:20:00 p.m.,"1,67","4,266","0,064","0,219"
30/12/2013 11:50:00 a.m.,"1,49","1,207","0,011","0,165"
03/01/2014 11:50:00 a.m.,"1,72","5,37","0,049","0,632"
06/01/2014 12:20:00 p.m.,"1,7","5,443","0,12","0,454"
10/01/2014 12:35:00 p.m.,"1,55","1,927","0,038","0,139"
13/01/2014 12:10:00 p.m.,"2,56","31,999","1,047","7,911"
17/01/2014 12:10:00 p.m.,"1,78","7,831","0,094","0,611"
22/01/2014 12:20:00 p.m.,"1,73","6,014","0,044","0,273"
24/01/2014 12:10:00 p.m.,"1,67","4,518","0,044","0,287"
27/01/2014 12:15:00 p.m.,2,"15,365","0,364","2,326"
03/02/2014 11:40:00 a.m.,"1,79","7,173","0,213","0,385"
06/02/2014 11:35:00 a.m.,"2,155","18,64","1,035","3,551"
10/02/2014 11:30:00 a.m.,"2,76","39,234","3,967","11,026"
14/02/2014 12:10:00 p.m.,"2,22","20,949","0,3","5,832"
17/02/2014 12:30:00 p.m.,"3,25","60,76","0,847","7,99"
20/02/2014 12:30:00 p.m.,"2,53","30,099","0,893","1,975"
25/02/2014 12:25:00 p.m.,3,"49,857","0,574","4,464"
28/02/2014 10:40:00 a.m.,"2,58","30,468","1,557","5,835"
05/03/2014 12:20:00 p.m.,"2,53","28,779","0,863","1,753"
10/03/2014 10:10:00 a.m.,"2,08","14,771",,
10/03/2014 12:10:00 p.m.,"2,08","14,771","0,4","0,464"
11/03/2014 11:50:00 a.m.,"2,15","17,831","0,417","1,987"
17/03/2014 12:10:00 p.m.,"1,85","9,511","0,255","0,638"
18/03/2014 12:05:00 p.m.,"3,6","77,167","2,525","8,601"
26/03/2014 12:10:00 p.m.,"1,94","11,497","0,303","0,885"
28/03/2014 12:10:00 p.m.,"2,2","19,404","0,659","1,138"
31/03/2014 12:10:00 p.m.,"2,14","16,693","1,547","2,002"
08/04/2014 04:20:00 p.m.,"2,53","27,938","1,539","2,909"
16/04/2014 12:20:00 p.m.,"2,17","16,928","0,658","0,912"
21/04/2014 12:00:00 p.m.,"2,04","14,576","0,805",1
24/04/2014 12:20:00 p.m.,"2,29","24,529","1,149","1,71"
05/05/2014 12:10:00 p.m.,"1,93","11,791","0,291","0,426"
03/06/2014 12:15:00 p.m.,"1,83","9,344","0,246","0,465"
10/07/2014 02:30:00 p.m.,"1,78","7,641","0,263","0,266"
04/08/2014 01:30:00 p.m.,"1,74","6,6","0,151","0,402"
09/09/2014 04:00:00 p.m.,"1,7","4,654","0,127","0,202"
03/10/2014 12:50:00 p.m.,"1,68","3,87","0,022","0,065"
21/10/2014 11:40:00 a.m.,"1,81","7,923","0,298","1,982"
05/11/2014 12:10:00 p.m.,"1,8","7,195","0,118","0,539"
14/11/2014 12:40:00 p.m.,"1,83","8,006","0,108","0,682"
25/11/2014 12:20:00 p.m.,"1,85","8,994","0,105","1,83"
28/11/2014 11:35:00 a.m.,"1,85","9,004","2,735","1,843"
02/12/2014 12:00:00 p.m.,"1,79","6,286","0,208","0,534"
05/12/2014 12:30:00 p.m.,"1,69","4,857","0,1","0,237"
09/12/2014 11:10:00 a.m.,"2,02","13,215","0,162","1,631"
12/12/2014 12:30:00 p.m.,"2,08","15,913","0,715","2,012"
15/12/2014 03:00:00 p.m.,"2,93","47,864","5,125","63,489"
19/12/2014 12:40:00 p.m.,"2,5","39,557","1,827","8,447"
22/12/2014 11:50:00 a.m.,"2,58","42,298","3,9","5,802"
